Timestamp,Stock_code,Price,Changes,Volume,One_year_target
2024-03-07 20:36:37,TSLA,176.54,-4.20 (-2.32%),"106,883,454",205.55
2024-03-07 20:36:38,BRK-B,403.39,-3.72 (-0.91%),"3,871,124",439.56
2024-03-07 20:36:40,PYPL,58.12,-0.15 (-0.26%),"17,029,286",70.14
2024-03-07 20:36:41,AAPL,169.12,-1.00 (-0.59%),"67,638,518",201.41
2024-03-07 20:36:42,AMZN,173.51,-0.61 (-0.35%),"31,551,986",206.20
2024-03-07 20:36:45,MSFT,402.09,-0.56 (-0.14%),"22,146,639",456.24
2024-03-07 20:36:46,FB,[],[],[],[]
2024-03-07 20:36:47,GOOG,132.56,-1.22 (-0.91%),"23,079,936",162.20
2024-03-07 20:37:49,TSLA,176.54,-4.20 (-2.32%),"106,883,454",205.55
2024-03-07 20:37:51,BRK-B,403.39,-3.72 (-0.91%),"3,871,124",439.56
2024-03-07 20:37:52,PYPL,58.12,-0.15 (-0.26%),"17,029,286",70.14
2024-03-07 20:37:53,AAPL,169.12,-1.00 (-0.59%),"67,638,518",201.41
2024-03-07 20:37:55,AMZN,173.51,-0.61 (-0.35%),"31,551,986",206.20
2024-03-07 20:37:57,MSFT,402.09,-0.56 (-0.14%),"22,146,639",456.24
2024-03-07 20:37:59,FB,[],[],[],[]
2024-03-07 20:38:00,GOOG,132.56,-1.22 (-0.91%),"23,079,936",162.20
2024-03-07 20:39:01,TSLA,176.54,-4.20 (-2.32%),"106,883,454",205.55
2024-03-07 20:39:02,BRK-B,403.39,-3.72 (-0.91%),"3,871,124",439.56
2024-03-07 20:39:03,PYPL,58.12,-0.15 (-0.26%),"17,029,286",70.14
2024-03-07 20:39:05,AAPL,169.12,-1.00 (-0.59%),"67,638,518",201.41
2024-03-07 20:39:06,AMZN,173.51,-0.61 (-0.35%),"31,551,986",206.20
2024-03-07 20:39:07,MSFT,402.09,-0.56 (-0.14%),"22,146,639",456.24
2024-03-07 20:39:09,FB,[],[],[],[]
2024-03-07 20:39:10,GOOG,132.56,-1.22 (-0.91%),"23,079,936",162.20
2024-03-07 20:40:11,TSLA,176.54,-4.20 (-2.32%),"106,883,454",205.55
2024-03-07 20:40:12,BRK-B,403.39,-3.72 (-0.91%),"3,871,124",439.56
2024-03-07 20:40:13,PYPL,58.12,-0.15 (-0.26%),"17,029,286",70.14
2024-03-07 20:40:14,AAPL,169.12,-1.00 (-0.59%),"67,638,518",201.41
2024-03-07 20:40:15,AMZN,173.51,-0.61 (-0.35%),"31,551,986",206.20
2024-03-07 20:40:17,MSFT,402.09,-0.56 (-0.14%),"22,146,639",456.24
2024-03-07 20:40:18,FB,[],[],[],[]
2024-03-07 20:40:19,GOOG,132.56,-1.22 (-0.91%),"23,079,936",162.20
2024-03-07 20:41:20,TSLA,176.54,-4.20 (-2.32%),"106,883,454",205.55
2024-03-07 20:41:21,BRK-B,403.39,-3.72 (-0.91%),"3,871,124",439.56
2024-03-07 20:41:22,PYPL,58.12,-0.15 (-0.26%),"17,029,286",70.14
2024-03-07 20:41:23,AAPL,169.12,-1.00 (-0.59%),"67,638,518",201.41
2024-03-07 20:41:25,AMZN,173.51,-0.61 (-0.35%),"31,551,986",206.20
2024-03-07 20:41:26,MSFT,402.09,-0.56 (-0.14%),"22,146,639",456.24
2024-03-07 20:41:27,FB,[],[],[],[]
2024-03-07 20:41:28,GOOG,132.56,-1.22 (-0.91%),"23,079,936",162.20
2024-03-07 20:42:29,TSLA,176.54,-4.20 (-2.32%),"106,883,454",205.55
2024-03-07 20:42:30,BRK-B,403.39,-3.72 (-0.91%),"3,871,124",439.56
2024-03-07 20:42:32,PYPL,58.12,-0.15 (-0.26%),"17,029,286",70.14
2024-03-07 20:42:34,AAPL,169.12,-1.00 (-0.59%),"67,638,518",201.41
2024-03-07 20:42:35,AMZN,173.51,-0.61 (-0.35%),"31,551,986",206.20
2024-03-07 20:42:37,MSFT,402.09,-0.56 (-0.14%),"22,146,639",456.24
2024-03-07 20:42:38,FB,[],[],[],[]
2024-03-07 20:42:39,GOOG,132.56,-1.22 (-0.91%),"23,079,936",162.20
2024-03-07 20:43:41,TSLA,176.54,-4.20 (-2.32%),"106,883,454",205.55
2024-03-07 20:43:43,BRK-B,403.39,-3.72 (-0.91%),"3,871,124",439.56
2024-03-07 20:43:45,PYPL,58.12,-0.15 (-0.26%),"17,029,286",70.14
2024-03-07 20:43:46,AAPL,169.12,-1.00 (-0.59%),"67,638,518",201.41
2024-03-07 20:43:48,AMZN,173.51,-0.61 (-0.35%),"31,551,986",206.20
2024-03-07 20:43:49,MSFT,402.09,-0.56 (-0.14%),"22,146,639",456.24
2024-03-07 20:43:50,FB,[],[],[],[]
2024-03-07 20:43:51,GOOG,132.56,-1.22 (-0.91%),"23,079,936",162.20
2024-03-07 20:44:52,TSLA,176.54,-4.20 (-2.32%),"106,883,454",205.55
2024-03-07 20:44:54,BRK-B,403.39,-3.72 (-0.91%),"3,871,124",439.56
2024-03-07 20:44:55,PYPL,58.12,-0.15 (-0.26%),"17,029,286",70.14
2024-03-07 20:44:57,AAPL,169.12,-1.00 (-0.59%),"67,638,518",201.41
2024-03-07 20:44:59,AMZN,173.51,-0.61 (-0.35%),"31,551,986",206.20
2024-03-07 20:45:00,MSFT,402.09,-0.56 (-0.14%),"22,146,639",456.24
2024-03-07 20:45:01,FB,[],[],[],[]
2024-03-07 20:45:03,GOOG,132.56,-1.22 (-0.91%),"23,079,936",162.20
2024-03-07 20:46:04,TSLA,176.54,-4.20 (-2.32%),"106,883,454",205.55
2024-03-07 20:46:05,BRK-B,403.39,-3.72 (-0.91%),"3,871,124",439.56
2024-03-07 20:46:07,PYPL,58.12,-0.15 (-0.26%),"17,029,286",70.14
2024-03-07 20:46:08,AAPL,169.12,-1.00 (-0.59%),"67,638,518",201.41
2024-03-07 20:46:09,AMZN,173.51,-0.61 (-0.35%),"31,551,986",206.20
2024-03-07 20:46:10,MSFT,402.09,-0.56 (-0.14%),"22,146,639",456.24
2024-03-07 20:46:11,FB,[],[],[],[]
2024-03-07 20:46:13,GOOG,132.56,-1.22 (-0.91%),"23,079,936",162.20
2024-03-07 20:47:14,TSLA,176.54,-4.20 (-2.32%),"106,883,454",205.55
2024-03-07 20:47:15,BRK-B,403.39,-3.72 (-0.91%),"3,871,124",439.56
2024-03-07 20:47:16,PYPL,58.12,-0.15 (-0.26%),"17,029,286",70.14
2024-03-07 20:47:17,AAPL,169.12,-1.00 (-0.59%),"67,638,518",201.41
2024-03-07 20:47:18,AMZN,173.51,-0.61 (-0.35%),"31,551,986",206.20
2024-03-07 20:47:20,MSFT,402.09,-0.56 (-0.14%),"22,146,639",456.24
2024-03-07 20:47:21,FB,[],[],[],[]
2024-03-07 20:47:22,GOOG,132.56,-1.22 (-0.91%),"23,079,936",162.20
2024-03-07 20:48:23,TSLA,176.54,-4.20 (-2.32%),"106,883,454",205.55
2024-03-07 20:48:25,BRK-B,403.39,-3.72 (-0.91%),"3,871,124",439.56
2024-03-07 20:48:27,PYPL,58.12,-0.15 (-0.26%),"17,029,286",70.14
2024-03-07 20:48:28,AAPL,169.12,-1.00 (-0.59%),"67,638,518",201.41
